	TCGA-A6-2671-01A	TCGA-A6-2675-01A	TCGA-A6-2678-01A	TCGA-A6-2679-01A	TCGA-A6-2680-01A	TCGA-A6-2671-11A	TCGA-A6-2675-11A	TCGA-A6-2678-11A	TCGA-A6-2679-11A	TCGA-A6-2680-11A
ARIH2OS	0.414542212923698	0.710933029484975	0.678414620534198	1.6163272035043001	0.6367904900085071	0.958282244414423	0.8339434535242242	0.6864391028194771	0.933546905549357	1.13918957814399
ARL1	3.27222163629519	3.84562014279571	4.72851288824751	3.0213280172898	3.5432830277426297	3.90124435896691	4.21576200664841	3.9897454408779596	3.81561410353046	4.1045850931441095
ARL10	0.365660933717161	0.6123487976767161	0.569889894390712	0.0217117904918413	0.163416470621231	0.317476354725555	0.9235379520094499	0.368853116871742	0.359112617819801	0.2731074808436
ARL11	0.43037014478013896	0.895187886249942	1.06529435055373	2.10944791831332	1.07094806768407	0.9174000014590921	0.6229379564138829	1.0949845378413798	1.12846559777651	1.7775707612317901
ARL13B	0.964403442584077	1.2978196480055502	0.93778960186619	0.504148530438952	0.8311450683183771	0.9487163476843391	1.42325153421729	0.9820320057684359	1.01695525167655	1.00760537032315
ARL14	0.998797023442868	3.2431184697571895	3.8183784364634503	0.741049381016106	3.04672591631494	5.01248692220544	5.1875116487231105	4.73681904584473	5.164026369795639	5.42338459897966
ARL14EP	2.56108372746157	2.212103786868	2.7304368812437403	1.57106930493694	1.6552437709413301	1.7924235836657199	2.1657707182957	1.9534182426463003	1.7512480613936299	1.74512143661773
ARL15	1.50142549697669	2.96125103742386	3.03584223858037	1.00486142086944	2.2927192349569503	2.99100392390365	2.57743820205048	3.30302007877698	2.66278083087515	2.9517198002419196
ARL16	2.84866346934931	2.9428446093506495	3.4852829002295094	3.6978019113793796	3.1682095663378704	2.49048621790834	2.8177149848854	2.79183542088991	2.7167275973226	2.85803295211339
ARL17A	0.0238265925964318	0.186888206136362	0.0909551826772163	0.0	0.0639691135777346	0.0792216829971038	0.136569841121534	0.156143618891701	0.115948091325959	0.0691006685808193
ARL2	4.07412544497594	4.51844922627493	3.90135750354435	6.09876337058506	4.51129463238581	4.729070961703781	4.55151116080267	4.2097495847577795	4.31490465687717	4.6450124752276105
ARL2BP	1.8727583638334502	1.7862317126336298	2.98486463408415	3.1799766690067703	2.87100939842439	2.2084580155365097	2.21589938928921	1.89177652724264	2.0633613384007496	1.9344851842531499
ARL3	2.61820428007217	2.07306860171311	2.16233003155556	3.1627789322068898	2.892200669069	2.27642630111929	2.73348590728085	2.13351115699253	2.0012075882049998	2.4932301623255695
ARL4A	2.62890261177717	3.05616903780304	2.9586586892780202	1.8226471956005201	2.88494138283539	4.0529017828353595	3.27841763326818	4.22115454022956	4.16761250446136	5.13954100079688
ARL4C	4.16802069247343	4.18475476276713	2.6421401680536403	2.7932436073382996	2.5860536461274704	2.8030643862938303	2.3653083034324904	3.4214038955437402	3.6345506409213595	2.4199934589790897
ARL4D	1.25740278868031	1.75010132280835	0.819842532156071	1.19753150556056	0.7549380683020469	2.65471735847512	4.57699982828483	2.26850506392492	1.75039146781421	2.7799004673592003
ARL5A	2.61752354081883	3.0728983059368	3.12419871369558	1.883887792082	2.49923672944277	2.76109555605832	2.89610251777505	2.9100111393134998	2.70803176577137	3.66972436131842
ARL5B	1.9294111400288103	2.7749531633417006	3.1264535528205903	1.04434697672509	2.4668252587404	2.25865995781212	2.26204296720211	2.49855481466133	2.3408404619467698	3.02923248757734
ARL6	0.9816126006878709	1.04071205404521	0.944431665595208	0.106816221063345	0.7538457763747131	0.8368144144134119	1.32362265021298	0.8962914792720899	0.707868739608103	0.74558164050983
ARL6IP1	5.10015223049319	5.7541185981287	6.4574044233572	4.10911329153306	5.42056706479138	5.84094157084992	5.399691722820281	5.8594793401526	5.8598650304186295	5.78076044158541
ARL6IP4	1.12099815273312	0.595147927050912	0.7882144766785351	2.59952133954883	1.92211947264407	0.4226611762186889	0.620719851732225	0.343508838066639	0.3796779047734001	1.69931797358226
ARL6IP5	5.02580156031805	5.435839659736559	6.13997898887887	4.547896445269809	4.95942422371475	5.8650235453511	6.02347745802943	5.60279751543926	6.1832917289927005	5.8702691241287805
ARL6IP6	2.5554419858564703	2.74635239405796	2.51516223683517	1.62073573185573	2.62976854882321	2.44257595799268	1.9894898060158799	2.60962232732832	2.5912386300558303	1.9394732100918999
ARL8A	4.56921846673983	4.27848951218853	3.8577452665468197	5.55766533228513	5.4322530407751906	4.2765148445722	4.17976585092576	4.00960499935847	3.9533635549355095	4.465625668892691
ARL8B	4.150217857455	4.13090249461089	4.79354474462161	2.7822677548954395	4.1098327280336	4.54134614949808	4.75728087239393	4.49747699838241	4.349724783850779	4.841097814603651
ARMC1	2.2046467729712402	3.96773025916159	4.0182964426961	1.21447678860776	2.6877128806551402	3.2435022031303298	3.78263484459656	3.4053973676333498	3.14053370536729	3.49713801169779
ARMC10	2.9822575578617596	3.34879657895163	3.39249682816982	2.6922199467607	3.08614190602696	2.47832931018459	2.7309312330633997	2.62184278980668	2.2544282879464905	2.0226861678661696
ARMC2	0.46928569580227597	0.43385372521486	0.37662729373643195	0.268337193735268	1.0527240286942	0.44748143175685295	0.40034691470421396	0.37245755470511493	0.3849989671638329	0.45748689039195395
ARMC5	2.6686662003759705	1.9878486975736398	1.7407020072613	2.8488889241977002	2.2307619687585096	1.9707329346121898	1.72645807860531	1.73541964581474	2.06441742408033	1.78780145428006
ARMC6	4.4682987527984	3.6022380734358994	3.43305881103742	5.045814896873559	3.9761638211316206	3.3568272572099	3.12911385923337	2.9461282830560696	3.3665610406734996	2.5217099687216002
ARMC7	3.12969699090802	2.59423524573609	3.34020670102638	3.65912252071127	3.3619594425612496	3.6561120665196096	3.05301530025706	3.2793071731198298	3.68514346407494	3.38190984478755
ARMC8	1.8373005026741	1.8355664676668302	2.09678113048248	1.1940848562294	1.86495345394664	2.1386950366314297	2.44841603825822	2.26392496875867	2.07012609205671	2.1580821581927903
ARMC9	1.23202931728977	1.54144014225446	0.953321567991098	0.979078862662807	0.942892254723902	0.948504038173025	1.49600063395224	0.7823111708852092	0.7886767239203041	1.03874442234263
ARMCX1	1.30624140714787	1.8907738789195099	1.10587086059808	0.8572364109381371	0.786384812498623	2.72718842448027	3.98116562150002	2.86022139439248	2.0950519190039096	2.71937796636257
ARMCX2	1.90378436072997	2.33033648534878	1.55486476702297	0.7043190301837	0.6377226048176129	1.77724005247327	3.15875368411493	1.80526344335611	1.58556520329171	1.80325918773969
ARMCX3	3.6896622671125696	4.02317926595218	3.8570661726233197	3.1015029078252	3.0854799363250103	3.01803047583061	4.0343068659947905	3.24335781287017	3.06970963995475	2.96512165089026
ARMCX4	0.5803226418235	0.62024305643909	0.40701330281054704	0.0732140100558071	0.20091688785655398	0.603581567341686	1.1490254478734498	0.691252912729325	0.559360319242647	0.640603353174432
ARMCX5	1.7349909501645902	2.40172817292004	2.04952491041794	0.8868573194157792	1.90818754448756	1.6178737176158402	1.6492599610204899	1.88251694790975	1.49872213188122	1.8443805835336202
ARMCX6	1.96362603974586	2.3063153317029	1.6415573524668101	1.30217338507827	1.4940640897648898	1.61937586502996	2.0927867486288	1.74893805835177	1.65174880155523	1.44972594650804
ARNT	3.03586944588449	3.1113991293562995	3.08186896656086	2.3598693594305	2.8733348674935097	3.42886008891299	3.60953681900175	3.57840605175242	3.34671910693779	3.19677226237487
ARNT2	1.11648617223651	0.8610298512812091	0.695719664447602	0.23826053297510502	0.330812423062438	1.31755645443957	2.40844732322016	1.35546040887896	1.04974233832943	1.11378616321674
ARNTL	0.69723414889834	1.23125301616949	1.31767599821771	0.9867185183862829	1.28506307108647	1.05458785980323	1.4950861942667402	2.23558490959885	1.71507937816971	1.5333578345257899
ARNTL2	1.78369358224496	2.02287921568074	2.68524179496107	1.3463774533725401	2.08334902646395	0.47230771004352295	1.14198497481398	0.418067901124274	0.616560338043145	1.0148116299609
ARPC1A	5.715947566776429	5.744957494302911	5.89755230784801	6.8165339453944895	6.1429228016692905	6.021412271953759	5.871052438870901	5.7787796111381695	5.88257395469179	6.326530058319991
ARPC1B	6.08026132498273	5.70766083680246	5.32660791936113	7.42850198358962	6.53827990462975	5.5012819345512	5.19224813983277	5.13362224268966	5.821273036302871	6.07649119133992
ARPC2	5.68347826135481	5.375176952907831	5.576152474233299	5.68415264090793	5.67306130819598	5.800488840548309	5.531054797555	5.45023100371846	5.7953667300792695	5.86429685882012
ARPC3	4.55894961921515	5.9723729341111795	6.41000075684249	4.301985760581291	5.12329009586154	6.081243737527469	5.69470011616691	5.94765241729599	6.18902852897184	6.142158614859099
ARPC4	5.397259120778071	5.3156810228886195	5.04624195139774	6.763975877014871	5.33695304527062	5.620484845761241	5.411471180594809	5.103754255330441	5.56728405856413	5.383291515236159
ARPC5	4.57133334048614	4.1887235714982	4.95423511802575	4.6705656628947	4.79392192066217	4.586484281586059	4.07900673866548	4.27054431782821	4.56681355495817	4.57385699104128
ARPC5L	4.71074645016797	3.32875631445647	4.32618235591665	4.76467169076021	4.58655852207618	3.72264843448699	3.64462017272148	3.34765834227941	3.6825757432604	3.4112620899618595
ARPIN	2.3500467954874598	2.66321526407988	2.9980631113442002	1.6050427984385902	2.51996474682243	3.41803860945122	3.4749943104572796	3.5447475443717997	3.28233696577337	3.45651927067764
ARPP19	2.9966884546018098	3.68360540616324	4.81130522690641	2.0231337363177904	3.5793808857699503	3.83544079220754	4.54127908570575	3.98624687417681	3.76966333947604	4.1250129572964
ARRB1	2.6702763206684197	3.3100469489984796	2.33820074387802	4.264262975071181	3.26813304049317	4.237822020747609	3.8116922342367796	3.8600258797679	3.8213949533102407	3.7357327011429797
ARRB2	4.96708151042972	3.5738704232518304	2.22517632016521	4.14826441464272	3.67959967769984	3.43957875093973	2.7867830124050403	3.55257949296026	3.8178697701260798	4.103205729650529
